Organization 1 has 5 low density subscriptions, 9 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 321 has 9 low density subscriptions, 7 high density subscriptions, and 7 physical servers with a total of 6 sockets. They are running 11 virtual machines, with 13 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 322 has 2 low density subscriptions, 2 high density subscriptions, and 3 physical servers with a total of 9 sockets. They are running 8 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 323 has 5 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 9 sockets. They are running 21 virtual machines, with 18 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 324 has 2 low density subscriptions, 9 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 4 virtual machines, with 12 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 325 has 3 low density subscriptions, 5 high density subscriptions, and 9 physical servers with a total of 6 sockets. They are running 47 virtual machines, with 14 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 326 has 5 low density subscriptions, 4 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 7 virtual machines, with 3 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 327 has 7 low density subscriptions, 0 high density subscriptions, and 5 physical servers with a total of 6 sockets. They are running 21 virtual machines, with 9 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 328 has 2 low density subscriptions, 4 high density subscriptions, and 3 physical servers with a total of 1 sockets. They are running 22 virtual machines, with 19 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 329 has 7 low density subscriptions, 5 high density subscriptions, and 9 physical servers with a total of 4 sockets. They are running 6 virtual machines, with 5 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 330 has 1 low density subscriptions, 8 high density subscriptions, and 1 physical servers with a total of 7 sockets. They are running 19 virtual machines, with 1 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 331 has 6 low density subscriptions, 1 high density subscriptions, and 4 physical servers with a total of 6 sockets. They are running 43 virtual machines, with 1 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 332 has 5 low density subscriptions, 4 high density subscriptions, and 1 physical servers with a total of 1 sockets. They are running 6 virtual machines, with 0 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 333 has 0 low density subscriptions, 8 high density subscriptions, and 6 physical servers with a total of 6 sockets. They are running 32 virtual machines, with 15 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 334 has 0 low density subscriptions, 0 high density subscriptions, and 8 physical servers with a total of 5 sockets. They are running 37 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 335 has 3 low density subscriptions, 1 high density subscriptions, and 8 physical servers with a total of 3 sockets. They are running 22 virtual machines, with 12 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 336 has 1 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 9 sockets. They are running 41 virtual machines, with 13 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 337 has 9 low density subscriptions, 8 high density subscriptions, and 9 physical servers with a total of 6 sockets. They are running 21 virtual machines, with 3 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 338 has 9 low density subscriptions, 9 high density subscriptions, and 3 physical servers with a total of 4 sockets. They are running 11 virtual machines, with 19 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 339 has 6 low density subscriptions, 4 high density subscriptions, and 6 physical servers with a total of 8 sockets. They are running 43 virtual machines, with 10 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 340 has 6 low density subscriptions, 9 high density subscriptions, and 2 physical servers with a total of 1 sockets. They are running 3 virtual machines, with 19 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 341 has 7 low density subscriptions, 0 high density subscriptions, and 8 physical servers with a total of 1 sockets. They are running 32 virtual machines, with 9 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 342 has 8 low density subscriptions, 3 high density subscriptions, and 8 physical servers with a total of 3 sockets. They are running 29 virtual machines, with 5 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 343 has 8 low density subscriptions, 0 high density subscriptions, and 2 physical servers with a total of 6 sockets. They are running 21 virtual machines, with 13 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 344 has 7 low density subscriptions, 7 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 17 virtual machines, with 8 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 345 has 0 low density subscriptions, 0 high density subscriptions, and 1 physical servers with a total of 4 sockets. They are running 5 virtual machines, with 17 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 346 has 8 low density subscriptions, 8 high density subscriptions, and 8 physical servers with a total of 3 sockets. They are running 47 virtual machines, with 13 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 347 has 6 low density subscriptions, 1 high density subscriptions, and 9 physical servers with a total of 2 sockets. They are running 27 virtual machines, with 3 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
